GeneID,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,D1.adjPval,D3.adjPval,D6.adjPval,D10.adjPval,D14.adjPval
RECQL5,-0.0550751962,0.1384715266,0.0560304187,0.0231519823,0.3116360778,0.9307337513,0.6072913042,0.8488314117,0.950813915,0.0060376937
REEP1,-0.1515703535,0.5808745258,1.1603460206,0.9719570871,1.4540322138,0.9577308458,0.5721131596,0.0988092279,0.1995257228,0.0020171792
REEP2,-1.0234357485,-0.5562651912,-1.1654859744,-1.0954384205,-1.283262388,0.0022208346,0.0542890634,0.0004776447,0.0009057874,3.21545899721194E-06
REEP3,-0.0227954466,-0.2972511536,-0.0738703307,-0.2183999845,-0.5780989085,0.9807638764,0.171203554,0.8075536565,0.3236629702,0.0001443264
REEP4,0.3551658741,0.9251801601,0.3577618546,-0.075669073,0.2568076638,0.4080689833,0.0067091406,0.2662292783,0.8936100829,0.1654715921
REEP5,-0.4420321783,-0.4725552997,-0.5755618331,-0.3331588505,-0.1064608532,0.0569878331,0.0320931149,0.0080368708,0.1233874753,0.4344978794
REEP6,-0.1496190634,-0.0553880977,0.2599502009,0.1555494282,0.3568386888,0.6801164521,0.8975955549,0.1802468447,0.517658172,0.0038133477
RELB,-0.3719651539,-0.3689830059,-0.3635170869,-0.3016041773,-0.3028822672,0.0231486683,0.0185828557,0.0147742799,0.0457351519,0.0018453242
RELL1,0.102584764,0.9091405267,1.2330722164,0.7781730955,0.776912964,0.9277476412,0.0107741832,0.0011370611,0.0231125792,0.0007034578
REPIN1,-0.9343739959,-0.5989519394,-1.0824597291,-1.008181496,-1.0062579844,0.0007165544,0.0096212809,0.0001261927,0.000257835,2.88719598334441E-06
RER1,0.5680427421,0.5817310146,0.3407829367,0.8289496154,0.793574492,0.0024352429,0.0015235122,0.0270586864,0.0001046375,1.47306055070542E-06
RERE,-1.1561199887,-1.2617810567,-1.2652633887,-1.2276766598,-0.9457580274,0.000062976,2.08831404019688E-05,1.44736443071881E-05,2.2309861659324E-05,0.000001719
RERGL,0.2170520719,0.0279421482,-0.0023534133,0.2435290787,0.2285797214,0.4112488867,0.9537883031,0.995109999,0.2319780778,0.0417279799
RETSAT,-0.4452072613,-0.6413437041,-0.6220757573,-0.3395157183,-0.2743197929,0.0122548432,0.0008515903,0.000769369,0.0359256914,0.0054365926
REV1,0.036462669,-0.0405846213,-0.0039927088,-0.1969185256,-0.2542900085,0.961436303,0.9238230171,0.9907927903,0.3341397266,0.0197562201
REV3L,-0.3434466043,-0.5875688493,-0.6371675079,-0.5352754425,-0.7602257503,0.170786629,0.0112493131,0.0050764372,0.0173220808,3.03951531360655E-05
REXO2,-0.1292289413,-0.0814825151,0.1136435366,0.1720870654,0.3253619151,0.7684531781,0.8406512381,0.6773286646,0.4863125674,0.0091336776
RFC2,-0.0018836995,-0.1741401776,-0.4578024847,-0.1233765405,-0.1004964837,0.9982942622,0.4937253,0.0166411446,0.6304228232,0.4110135021
RFC3,0.2305827185,0.3362508406,-0.6762804521,-0.0428353439,-0.5540762799,0.5484465887,0.2140220626,0.0072497863,0.9283147448,0.0008602495
RFC4,0.3706509006,0.6183538527,0.179910406,0.5195739872,0.0150259366,0.1581084908,0.0113836242,0.4970729514,0.02661108,0.9426553931
RFC5,0.1307593898,0.6864074073,-0.4836231397,0.2076184994,-0.2165191099,0.7193944046,0.0015154733,0.0100822707,0.3054237409,0.0447507337
RFFL,-0.3154388729,-0.0744361296,0.4731771405,0.2444527299,0.5207794112,0.2548069416,0.8757026878,0.0329526706,0.3301270267,0.0007879558
RFNG,0.0152772538,0.784847408,1.48206823,0.7500048374,1.0038728669,0.9934327686,0.0381704922,0.0005859858,0.0424830996,0.0002025705
